"","nama_sklh","kota_sklh","provinsi","lulus.2020","tdk_admisi.2020","tdk_bayar.2020","jml.2020","lulus.2021","tdk_admisi.2021","tdk_bayar.2021","jml.2021"
"56","SMA BUDI UTOMO PERAK","Kab. Jombang","Jawa Timur",1,0,0,0,0,0,0,0
"57","SMA ISLAM DAARUL FIRDAUS","Kab. Serang","Banten",1,0,0,0,0,0,0,0
"58","SMA ISLAM NURUL FIKRI","Kab. Serang","Banten",3,0,0,0,0,0,0,0
"59","SMA ISLAM TERPADU BINA INSANI","Kab. Serang","Banten",2,0,0,0,0,0,0,0
"60","SMA ISLAM TERPADU GRANADA","Kota Tangerang","Banten",1,0,0,0,0,0,0,0
"61","SMA NEGERI 09 PALEMBANG","Kota Palembang","Sumatera Selatan",1,0,0,0,0,0,0,0
"62","SMA NEGERI 1 LUBUK BASUNG","Kab. Agam","Sumatera Barat",1,0,0,0,0,0,0,0
"63","SMA NEGERI UNGGUL BINAAN","Kab. Bener Meriah","Aceh",1,0,0,0,0,0,0,0
"64","SMAN 1 ANYER","Kab. Serang","Banten",2,0,0,0,7,0,0,0
"65","SMAN 1 BANJARSARI","Kab. Lebak","Banten",0,0,0,0,3,0,0,0
"66","SMAN 1 BAROS","Kab. Serang","Banten",14,1,1,2,3,0,0,0
"67","SMAN 1 BATANG ANAI","Kab. Padang Pariaman","Sumatera Barat",1,0,0,0,0,0,0,0
"68","SMAN 1 BAYAH","Kab. Lebak","Banten",6,0,0,0,6,0,1,1
"69","SMAN 1 BILAH HILIR","Kab. Labuhanbatu","Sumatera Utara",1,0,0,0,0,0,0,0
"70","SMAN 1 BINUANG","Kab. Serang","Banten",3,0,0,0,0,0,0,0
"71","SMAN 1 BOJONEGARA","Kab. Serang","Banten",2,0,0,0,8,1,0,1
"72","SMAN 1 BOJONGMANIK","Kab. Lebak","Banten",6,0,0,0,6,1,0,1
"73","SMAN 1 CARENANG","Kab. Serang","Banten",2,0,0,0,0,0,0,0
"74","SMAN 1 CIBADAK","Kab. Lebak","Banten",15,0,0,0,3,0,0,0
"75","SMAN 1 CIBEBER","Kab. Lebak","Banten",2,0,0,0,0,0,0,0
"76","SMAN 1 CIBITUNG","Kab. Bekasi","Jawa Barat",1,0,0,0,0,0,0,0
"77","SMAN 1 Cidahu","Kab. Sukabumi","Jawa Barat",0,0,0,0,1,0,0,0
"78","SMAN 1 CIHARA","Kab. Lebak","Banten",2,0,0,0,2,0,0,0
"79","SMAN 1 CIJAKU","Kab. Lebak","Banten",4,0,1,1,1,0,0,0
"80","SMAN 1 CIKANDE","Kab. Serang","Banten",21,0,0,0,10,0,0,0
"81","SMAN 1 CIKEUSAL","Kab. Serang","Banten",20,4,1,5,12,1,0,1
"82","SMAN 1 CIKULUR","Kab. Lebak","Banten",2,0,0,0,1,0,1,1
"83","SMAN 1 CILEGON","Kota Cilegon","Banten",5,0,1,1,9,0,0,0
"84","SMAN 1 CILELES","Kab. Lebak","Banten",1,0,0,0,3,0,0,0
"85","SMAN 1 CILOGRANG","Kab. Lebak","Banten",1,0,0,0,3,0,0,0
"86","SMAN 1 CIMARGA","Kab. Lebak","Banten",2,0,0,0,5,0,0,0
"87","SMAN 1 CINANGKA","Kab. Serang","Banten",1,0,0,0,6,0,0,0
"88","SMAN 1 CIOMAS","Kab. Serang","Banten",15,0,0,0,15,1,0,1
"89","SMAN 1 CIPANAS","Kab. Lebak","Banten",2,0,0,0,3,0,0,0
"90","SMAN 1 CIPEUNDEUY","Kab. Bandung Barat","Jawa Barat",1,0,0,0,0,0,0,0
